,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kavaratti,10.57,72.64,81.79,82,100,16.11,IN,1595535366
1,Hobart,-42.88,147.33,39.99,80,77,4.7,AU,1595535395
2,Rikitea,-23.12,-134.97,66.9,63,0,16.89,PF,1595535396
3,Pakokku,21.33,95.1,81.79,72,100,10.71,MM,1595535396
4,Saint Paul Harbor,57.79,-152.41,59.0,62,40,3.36,US,1595535396
5,Chokurdakh,70.63,147.92,68.07,59,54,5.48,RU,1595535364
6,Yellowknife,62.46,-114.35,61.0,87,90,13.87,CA,1595535186
7,Najrān,17.49,44.13,89.6,33,40,16.11,SA,1595535159
8,São José da Coroa Grande,-8.9,-35.15,76.03,77,18,10.31,BR,1595535397
9,Norman Wells,65.28,-126.83,60.8,63,75,11.41,CA,1595535397
10,New Norfolk,-42.78,147.06,39.99,85,98,2.13,AU,1595535397
11,Champerico,14.3,-91.92,87.8,66,40,6.93,GT,1595535397
12,San Cristobal,7.77,-72.22,82.4,51,75,9.17,VE,1595535398
13,Ushuaia,-54.8,-68.3,41.0,65,75,4.7,AR,1595535201
14,Busselton,-33.65,115.33,44.01,76,0,4.29,AU,1595535398
15,Yar-Sale,66.83,70.83,48.09,74,80,8.3,RU,1595535398
16,Bilibino,68.05,166.44,70.88,41,0,4.99,RU,1595535399
17,East London,-33.02,27.91,64.02,52,0,10.18,ZA,1595535399
18,Taitung City,22.76,121.14,81.95,76,71,4.18,TW,1595535399
19,Ukiah,39.15,-123.21,91.0,29,1,6.93,US,1595535399
20,Zhigansk,66.77,123.37,56.86,86,1,10.27,RU,1595535400
21,Ribeira Grande,38.52,-28.7,73.4,64,40,5.82,PT,1595535400
22,Chitral,35.85,71.79,75.74,42,0,2.75,PK,1595535400
23,Zyryanka,65.75,150.85,75.04,47,100,3.27,RU,1595535400
24,Saint George,37.1,-113.58,97.0,17,1,8.05,US,1595535205
25,Mataura,-46.19,168.86,39.0,83,68,3.0,NZ,1595535401
26,Heihe,50.24,127.49,66.2,93,100,2.24,CN,1595535401
27,Khatanga,71.97,102.5,42.58,88,100,16.49,RU,1595535401
28,Cabo San Lucas,22.89,-109.91,91.4,61,5,17.22,MX,1595535184
29,Pangnirtung,66.15,-65.71,51.8,81,90,11.41,CA,1595535402
30,Tawang Town,27.58,91.87,58.26,79,97,0.27,IN,1595535402
31,Chui,-33.7,-53.46,70.12,85,100,6.15,UY,1595535402
32,Tutóia,-2.76,-42.27,81.01,69,55,8.05,BR,1595535402
33,Saint-Leu,-21.15,55.28,64.4,77,75,17.22,RE,1595535402
34,Aykhal,66.0,111.5,50.0,87,0,6.71,RU,1595535402
35,Nuuk,64.18,-51.72,51.8,81,75,6.93,GL,1595535403
36,Hilo,19.73,-155.09,82.4,61,90,5.82,US,1595535403
37,Lubao,14.92,120.55,88.0,83,40,8.05,PH,1595535403
38,Nouadhibou,20.93,-17.03,73.4,78,29,18.34,MR,1595535185
39,Kyshtovka,56.55,76.63,49.53,85,0,2.21,RU,1595535403
40,Puerto Ayora,-0.74,-90.35,78.8,65,20,23.04,EC,1595535404
41,Havelock,34.88,-76.9,90.0,65,23,10.0,US,1595535376
42,Caazapá,-26.15,-56.4,78.46,58,33,5.84,PY,1595535404
43,Gaza,31.5,34.47,80.01,62,0,1.36,PS,1595535404
44,Kayanza Province,-3.07,29.67,60.06,76,70,2.15,BI,1595535405
45,Kaitangata,-46.28,169.85,37.99,79,98,4.0,NZ,1595535543
46,Atuona,-9.8,-139.03,78.67,76,0,18.79,PF,1595535313
47,Adrar,20.5,-10.07,102.58,16,56,7.87,MR,1595535406
48,Saskylakh,71.92,114.08,51.22,93,95,4.34,RU,1595535406
49,Narsaq,60.92,-46.05,57.2,71,75,11.41,GL,1595535406
50,Zhuhai,22.28,113.57,86.0,83,20,2.24,CN,1595535406
51,Hirara,24.8,125.28,84.61,77,100,11.36,JP,1595535407
52,Port Alfred,-33.59,26.89,63.93,45,0,10.16,ZA,1595535185
53,Kudahuvadhoo,2.67,72.89,83.05,71,100,7.34,MV,1595535407
54,Río Gallegos,-51.62,-69.22,32.0,90,97,2.24,AR,1595535407
55,Krasnosel'kup,65.7,82.47,48.06,73,12,13.71,RU,1595535408
56,Conde,-7.26,-34.91,78.8,74,20,12.75,BR,1595535408
57,Dolores,-36.31,-57.68,54.73,92,100,13.31,AR,1595535408
58,Punta Arenas,-53.15,-70.92,39.2,80,75,23.04,CL,1595535125
59,Qaanaaq,77.48,-69.36,48.97,51,0,1.39,GL,1595535409
60,Katsuura,35.13,140.3,73.0,94,100,0.29,JP,1595535335
61,Severo-Kuril'sk,50.68,156.12,49.24,92,100,3.06,RU,1595535409
62,Barrow,71.29,-156.79,42.8,93,90,13.87,US,1595535547
63,Upernavik,72.79,-56.15,46.44,73,74,11.14,GL,1595535409
64,Leningradskiy,69.38,178.42,47.14,69,50,13.8,RU,1595535410
65,Nikolskoye,59.7,30.79,55.99,76,20,6.71,RU,1595535410
66,Sharjah city,25.36,55.4,91.4,75,0,5.82,AE,1595535397
67,Cape Town,-33.93,18.42,55.99,93,90,2.24,ZA,1595535295
68,George Town,5.41,100.34,80.6,88,20,4.54,MY,1595535410
69,Torbay,47.67,-52.73,73.99,49,75,16.11,CA,1595535410
70,Hambantota,6.12,81.12,80.2,79,35,12.77,LK,1595535366
71,Dikson,73.51,80.55,41.34,88,0,6.44,RU,1595535548
72,Kapaa,22.08,-159.32,84.0,74,20,11.41,US,1595535231
73,Peterhead,57.51,-1.8,59.0,87,75,9.17,GB,1595535411
74,Tegul'det,57.31,88.17,44.82,97,3,5.03,RU,1595535385
75,Talnakh,69.49,88.4,44.6,81,100,26.84,RU,1595535412
76,Port Elizabeth,-33.92,25.57,53.6,76,0,4.7,ZA,1595535331
77,Iqaluit,63.75,-68.51,50.0,81,75,4.7,CA,1595535412
78,Madimba,-10.4,40.33,71.6,83,20,11.41,TZ,1595535412
79,Los Negros,-17.73,-63.43,82.4,61,40,16.11,BO,1595535412
80,Juneau,58.3,-134.42,57.99,82,75,12.75,US,1595535309
81,Maniitsoq,65.42,-52.9,47.26,85,100,9.01,GL,1595535413
82,Vaini,-21.2,-175.2,69.8,94,75,6.93,TO,1595535413
83,Codrington,-38.27,141.97,38.34,90,100,9.17,AU,1595535413
84,Marzuq,14.4,46.47,81.9,50,0,5.46,YE,1595535414
85,Neustadt an der Waldnaab,49.71,12.09,71.6,40,1,4.83,DE,1595535125
86,Esperance,-33.87,121.9,46.4,87,40,6.93,AU,1595535414
87,Palmer,42.16,-72.33,81.0,88,75,6.93,US,1595535414
88,Lebu,-37.62,-73.65,48.15,62,52,4.83,CL,1595535414
89,Dustlik,40.52,68.04,78.98,37,50,9.22,UZ,1595535415
90,Mahébourg,-20.41,57.7,64.4,77,75,18.34,MU,1595535415
91,Hermanus,-34.42,19.23,57.99,85,0,4.0,ZA,1595535415
92,el Prat de Llobregat,41.33,2.09,80.6,69,0,3.36,ES,1595535415
93,Port-Cartier,50.03,-66.87,69.8,64,75,8.05,CA,1595535416
94,Cherskiy,68.75,161.3,65.57,63,7,8.25,RU,1595535416
95,Ancud,-41.87,-73.82,48.2,57,0,5.82,CL,1595535416
96,Riyadh,24.69,46.72,95.0,32,9,3.36,SA,1595535303
97,Micheweni,-4.97,39.83,75.9,66,0,16.67,TZ,1595535417
98,Kavieng,-2.57,150.8,82.36,75,57,7.76,PG,1595535417
99,Tenosique,17.48,-91.43,89.92,64,0,5.37,MX,1595535418
100,Aklavik,68.22,-135.01,59.0,54,40,12.75,CA,1595535418
101,Peruíbe,-24.32,-47.0,70.92,73,0,2.71,BR,1595535418
102,Tiksi,71.69,128.87,59.07,82,86,8.03,RU,1595535418
103,Castro,-24.79,-50.01,68.5,63,0,4.27,BR,1595535418
104,Pevek,69.7,170.31,48.07,74,16,9.95,RU,1595535126
105,Bakel,14.9,-12.46,93.87,46,52,3.78,SN,1595535419
106,Alofi,-19.06,-169.92,75.2,94,75,11.41,NU,1595535419
107,Albany,42.6,-73.97,82.99,63,100,4.0,US,1595535419
108,Hoa Binh,20.81,105.34,80.6,88,40,5.82,VN,1595535419
109,Maragogi,-9.01,-35.22,75.27,79,16,9.86,BR,1595535420
110,Phayao,19.25,100.25,72.25,94,100,1.81,TH,1595535420
111,Kapuskasing,49.42,-82.43,80.6,34,20,6.93,CA,1595535420
112,Puerto Escondido,15.85,-97.07,87.8,58,40,8.05,MX,1595535420
113,Caravelas,-17.71,-39.25,73.71,74,32,5.91,BR,1595535238
114,Hong Kong,22.29,114.16,86.0,79,94,6.64,HK,1595535303
115,Svetlaya,46.54,138.33,57.96,92,100,7.9,RU,1595535125
116,Woodward,36.43,-99.39,96.8,41,40,12.75,US,1595535245
117,Arraial do Cabo,-22.97,-42.03,80.6,47,0,10.29,BR,1595535421
118,Wanning,18.8,110.4,80.74,81,27,5.99,CN,1595535422
119,Thunder Bay,48.4,-89.32,78.8,39,20,10.29,CA,1595535422
120,Longyearbyen,78.22,15.64,48.2,87,75,5.82,SJ,1595535422
121,Butaritari,3.07,172.79,82.17,79,21,15.37,KI,1595535423
122,Tuktoyaktuk,69.45,-133.04,55.4,58,75,16.11,CA,1595535371
123,Bowen,-20.02,148.23,66.0,87,4,6.93,AU,1595535423
124,Oga,46.46,10.35,62.6,81,40,9.17,IT,1595535423
125,Lüderitz,-26.65,15.16,68.0,32,0,3.36,NA,1595535423
126,Wanaka,-44.7,169.15,30.0,78,0,3.0,NZ,1595535194
127,Thompson,55.74,-97.86,78.8,65,75,9.17,CA,1595535424
128,Hithadhoo,-0.6,73.08,83.35,66,61,3.04,MV,1595535425
129,Menongue,-14.66,17.69,51.37,45,0,4.45,AO,1595535425
130,Port Blair,11.67,92.75,81.91,73,58,3.29,IN,1595535425
131,Sakakah,29.97,40.21,100.4,12,40,8.05,SA,1595535426
132,Bethalto,38.91,-90.04,88.0,74,40,4.7,US,1595535426
133,Bluff,-46.6,168.33,39.0,83,98,3.0,NZ,1595535426
134,Hauterive,46.09,3.45,75.2,44,100,2.24,FR,1595535152
135,Dwārka,22.24,68.97,84.69,80,54,14.5,IN,1595535426
136,Jamestown,42.1,-79.24,81.0,61,20,10.29,US,1595535427
137,Tabuk,17.42,121.44,73.53,83,85,2.48,PH,1595535427
138,Tasiilaq,65.61,-37.64,37.4,93,95,9.17,GL,1595535427
139,Vilyuysk,63.76,121.62,64.22,75,87,4.09,RU,1595535427
140,Nioki,-2.72,17.68,82.69,43,25,0.54,CD,1595535428
141,Yebaishou,41.4,119.64,72.03,51,0,4.59,CN,1595535428
142,Carnarvon,-24.87,113.63,60.8,77,0,13.87,AU,1595535428
143,Naze,28.37,129.48,82.4,88,40,8.05,JP,1595535235
